type	pre-condition	post-condition	confidence	SDC
Pattern	"97 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9936449422963509	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.97), ('pattern', 0), 3.005910525343153, 0.006355057703649092, (36, 7798, 290565, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""argentina"" < 1.1"	"values whose Sentence-BERT embedding distance to ""argentina"" > 1.4000000000000001"	0.9933893740527177	(('sbert', 1, 'argentina', 0.8, 1.1), ('sbert', 1.4000000000000001), 0.9070897012460308, 0.0066106259472823795, (1, 852, 65358, 232188))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""thailand"" < 1.1"	"values whose Sentence-BERT embedding distance to ""thailand"" > 1.4000000000000001"	0.9933344567340331	(('sbert', 1, 'thailand', 0.8, 1.1), ('sbert', 1.4000000000000001), 1.0109005665074318, 0.0066655432659668955, (2, 1088, 80775, 216534))
CTA	"80 % column values have their Doduo ""state""-classifier scores >= 4.5"	"values whose Doduo ""state""-classifier scores <= -2.5"""	0.9928377686774664	(('doduo', 'state', 0.8, 4.5), ('doduo', -2.5), 0.8826273304065018, 0.007162231322533546, (1, 786, 62725, 234887))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""se"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""se"" > 1.3250000000000002"	0.9922187139594416	(('sbert', 1, 'se', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.5541854310973877, 0.007781286040558442, (29, 5316, 165644, 127410))
Pattern	"99 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9921094007405289	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.99), ('pattern', 0), 2.992659139773161, 0.007890599259471137, (30, 5390, 292979, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.1"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.375"	0.9915641694367286	(('sbert', 1, 'canada', 0.8, 1.1), ('sbert', 1.375), 1.2096864050250138, 0.008435830563271301, (7, 1701, 114095, 182596))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2.5"""	0.9915603866320064	(('doduo', 'country', 0.8, 4), ('doduo', -2.5), 1.3109063044873026, 0.008439613367993627, (2, 858, 124568, 172971))
CTA	"80 % column values have their Doduo ""country""-classifier scores >= 4"	"values whose Doduo ""country""-classifier scores <= -2"""	0.9915603866320064	(('doduo', 'country', 0.8, 4), ('doduo', -2), 1.564622917767653, 0.008439613367993627, (2, 858, 162187, 135352))
CTA	"80 % column values have their Doduo ""state""-classifier scores >= 4"	"values whose Doduo ""state""-classifier scores <= -2.5"""	0.991339915358495	(('doduo', 'state', 0.8, 4), ('doduo', -2.5), 0.8562697644948627, 0.008660084641505047, (2, 836, 62724, 234837))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.1"	"values whose Sentence-BERT embedding distance to ""france"" > 1.375"	0.9904980844340784	(('sbert', 1, 'france', 0.8, 1.1), ('sbert', 1.375), 1.0783032897053844, 0.009501915565921613, (4, 1074, 94821, 202500))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""argentina"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""argentina"" > 1.375"	0.9902736881016267	(('sbert', 1, 'argentina', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1487119385248636, 0.009726311898373266, (12, 2139, 108249, 187999))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""british columbia"" < 1.1"	"values whose Sentence-BERT embedding distance to ""british columbia"" > 1.3250000000000002"	0.9902458247173483	(('sbert', 1, 'british columbia', 0.8, 1.1), ('sbert', 1.3250000000000002), 2.6651694752880295, 0.009754175282651703, (0, 390, 281416, 16593))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.0"	"values whose Sentence-BERT embedding distance to ""france"" > 1.35"	0.9899917049116094	(('sbert', 1, 'france', 0.8, 1.0), ('sbert', 1.35), 1.513584202527565, 0.010008295088390629, (0, 380, 140489, 157530))
Embedding	"80 % column values have their Glove embedding distance to ""peter"" < 5.0"	"values whose Glove embedding distance to ""peter"" > 12.0"	0.9899904243900398	(('embed', 1, 'peter', 0.8, 5.0), ('embed', 12.0), 1.6363140005775223, 0.010009575609960238, (1, 561, 171159, 126678))
Embedding	"80 % column values have their Glove embedding distance to ""peter"" < 5.0"	"values whose Glove embedding distance to ""peter"" > 8.5"	0.9899904243900398	(('embed', 1, 'peter', 0.8, 5.0), ('embed', 8.5), 1.6559711509186976, 0.010009575609960238, (1, 561, 174049, 123788))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.375"	0.9899252253481895	(('sbert', 1, 'canada', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1806874566173535, 0.010074774651810493, (18, 2800, 114084, 181497))
Pattern	"98 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.989775203621188	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.98), ('pattern', 0), 2.967600375351892, 0.010224796378811962, (41, 5390, 292968, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""minnesota"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""minnesota"" > 1.375"	0.9894621265685754	(('sbert', 1, 'minnesota', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.3055821046418323, 0.01053787343142467, (24, 3358, 133291, 161726))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""en"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""en"" > 1.3250000000000002"	0.9893061470899991	(('sbert', 1, 'en', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.3930661308255436, 0.010693852910000873, (31, 4076, 146594, 147698))
Pattern	"97 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.988939836961134	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.97), ('pattern', 0), 2.9593552125272393, 0.011060163038865999, (45, 5390, 292964, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""jones"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""jones"" > 1.35"	0.9885785209860466	(('sbert', 1, 'jones', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.5087102521802496, 0.011421479013953455, (3, 765, 158184, 139447))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""france"" > 1.375"	0.9883733127722055	(('sbert', 1, 'france', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.0312997666551342, 0.011626687227794481, (18, 2423, 94807, 201151))
Pattern	"95 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9882156728633285	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.95), ('pattern', 0), 2.947376166525882, 0.011784327136671494, (74, 7798, 290527, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""virginia"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""virginia"" > 1.375"	0.9870623272132472	(('sbert', 1, 'virginia', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.2600822143074806, 0.01293767278675279, (18, 2175, 129011, 167195))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""canada"" < 1.0"	"values whose Sentence-BERT embedding distance to ""canada"" > 1.35"	0.9870584176880869	(('sbert', 1, 'canada', 0.8, 1.0), ('sbert', 1.35), 1.739597461164644, 0.012941582311913155, (0, 293, 174094, 124012))
Pattern	"93 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9869640339213381	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.93), ('pattern', 0), 2.935982931584946, 0.013035966078661844, (83, 7798, 290518, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""antarctica"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""antarctica"" > 1.375"	0.9869576748499419	(('sbert', 1, 'antarctica', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.3268462695839918, 0.013042325150058105, (14, 1782, 138352, 158251))
Pattern	"95 % of values match pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.9868761190674418	(('pattern', 1, '6:2:1', '^[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.95), ('pattern', 0), 2.94024514648864, 0.013123880932558282, (55, 5390, 292954, 0))
Embedding	"80 % column values have their Glove embedding distance to ""actor"" < 5.5"	"values whose Glove embedding distance to ""actor"" > 8.5"	0.9866072424641336	(('embed', 1, 'actor', 0.8, 5.5), ('embed', 8.5), 1.7669080164160946, 0.013392757535866485, (0, 283, 178103, 120013))
Embedding	"80 % column values have their Glove embedding distance to ""actor"" < 5.5"	"values whose Glove embedding distance to ""actor"" > 11.5"	0.9866072424641336	(('embed', 1, 'actor', 0.8, 5.5), ('embed', 11.5), 1.7196501082073385, 0.013392757535866485, (0, 283, 171164, 126952))
Pattern	"99 % of values match pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	"values not matching pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	0.9862376496993907	(('pattern', 1, '2020-11-04t02:48:30z', '^[\\+\\-\\d\\.,]+[a-zA-Z]+[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+[a-zA-Z]+$', 0.99), ('pattern', 0), 2.97400180427915, 0.013762350300609355, (8, 1134, 297257, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""blue"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""blue"" > 1.35"	0.9858119762300059	(('sbert', 1, 'blue', 0.8, 1.2000000000000002), ('sbert', 1.35), 0.9943056965075715, 0.01418802376999401, (26, 2652, 93139, 202582))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ss"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ss"" > 1.3"	0.9857264482917466	(('sbert', 1, 'ss', 0.8, 1.2000000000000002), ('sbert', 1.3), 1.4027094191205065, 0.014273551708253443, (43, 4006, 152823, 141527))
CTA	"80 % column values have their Doduo ""category""-classifier scores >= 4"	"values whose Doduo ""category""-classifier scores <= -2"""	0.9857175689743647	(('doduo', 'category', 0.8, 4), ('doduo', -2), 0.9690262279126427, 0.014282431025635346, (12, 1451, 87876, 209060))
Embedding	"80 % column values have their Glove embedding distance to ""james"" < 4.0"	"values whose Glove embedding distance to ""james"" > 11.0"	0.9853285345033027	(('embed', 1, 'james', 0.8, 4.0), ('embed', 11.0), 1.7195595266481265, 0.01467146549669724, (0, 258, 171165, 126976))
Pattern	"90 % of values match pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+$"""	0.985309809643778	(('pattern', 1, '2015-10-12 10:13:18', '^[\\+\\-\\d\\.,]+ [\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+$', 0.9), ('pattern', 0), 2.921732862618345, 0.014690190356221959, (95, 7798, 290506, 0))
Embedding	"80 % column values have their Glove embedding distance to ""baker"" < 3.5"	"values whose Glove embedding distance to ""baker"" > 9.5"	0.9852722878559248	(('embed', 1, 'baker', 0.8, 3.5), ('embed', 9.5), 1.7197184294512398, 0.014727712144075176, (0, 257, 171189, 126953))
Embedding	"80 % column values have their Glove embedding distance to ""baker"" < 3.5"	"values whose Glove embedding distance to ""baker"" > 12.0"	0.9852722878559248	(('embed', 1, 'baker', 0.8, 3.5), ('embed', 12.0), 1.7195081506779297, 0.014727712144075176, (0, 257, 171158, 126984))
Embedding	"80 % column values have their Glove embedding distance to ""baker"" < 3.5"	"values whose Glove embedding distance to ""baker"" > 10.0"	0.9852722878559248	(('embed', 1, 'baker', 0.8, 3.5), ('embed', 10.0), 1.719616680829899, 0.014727712144075176, (0, 257, 171174, 126968))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""france"" < 1.0"	"values whose Sentence-BERT embedding distance to ""france"" > 1.3250000000000002"	0.985245899741337	(('sbert', 1, 'france', 0.8, 1.0), ('sbert', 1.3250000000000002), 1.7972952957353499, 0.01475410025866302, (1, 379, 197174, 100845))
Pattern	"98 % of values match pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	"values not matching pattern ""^[\+\-\d\.,]+[a-zA-Z]+[\+\-\d\.,]+:[\+\-\d\.,]+:[\+\-\d\.,]+[a-zA-Z]+$"""	0.985102968592883	(('pattern', 1, '2020-11-04t02:48:30z', '^[\\+\\-\\d\\.,]+[a-zA-Z]+[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+:[\\+\\-\\d\\.,]+[a-zA-Z]+$', 0.98), ('pattern', 0), 2.9638876206036993, 0.014897031407116982, (9, 1134, 297256, 0))
